Date,Private_Domestic(Price_Index),First_hand_sales_quantity,First_hand_sales_amount,Total_completions,Total_stock,Total_take_up,Total_vacancy,Unemployment_rate,CPI,HIBOR_1_month,HK$_million,HSI _close,HSI_volume
4/14/2003,60.65144869,2216.952911,6667706950,30778.68057,1055447.709,19399.05712,72615.6415,7.127087768,73.43782414,1.4375,3556062.658,8533.549805,190938000
4/15/2003,60.60244473,2270.5559,6586903526,30739.50579,1054996.435,19398.82079,72593.8394,7.124656871,73.43425196,1.4375,3557563.655,8632.099609,166040200
4/16/2003,60.55426893,2316.999716,6502774043,30700.49677,1054547.257,19398.77938,72572.04287,7.122226694,73.43069152,1.44866,3559115.038,8675.139648,171986800
4/17/2003,60.50692128,2356.284358,6415318499,30661.6535,1054100.175,19398.9329,72550.2519,7.11979724,73.42714284,1.45089,3560716.809,8579.139648,188226400
4/22/2003,60.46040179,2388.409826,6324536895,30622.97598,1053655.188,19399.28136,72528.4665,7.117368506,73.42360591,1.56027,3562368.966,8571.910156,193229000
4/23/2003,60.41471045,2413.37612,6230429230,30584.46423,1053212.296,19399.82475,72506.68667,7.114940494,73.42008073,1.65179,3564071.51,8519.599609,320239200
4/24/2003,60.36984726,2431.183241,6132995505,30546.11823,1052771.5,19400.56307,72484.91241,7.112513203,73.4165673,1.6183,3565824.44,8442.110352,332787600
4/25/2003,60.32581222,2441.831188,6032235719,30507.93798,1052332.8,19401.49632,72463.14371,7.110086633,73.41306562,1.66518,3567627.757,8409.009766,290400400
4/28/2003,60.28260534,2445.319962,5928149873,30469.92349,1051896.195,19402.62451,72441.38058,7.107660784,73.40957569,1.66518,3569481.461,8435.040039,237547000
4/29/2003,60.24022661,2441.649562,5820737967,30432.07476,1051461.685,19403.94763,72419.62301,7.105235657,73.40609752,1.5692,3571385.551,8744.219727,366840800
4/30/2003,60.5,2431,5710000000,30394.39178,1051029.271,19405.46568,72397.87101,7.8,73.9,1.56027,3573340,8717.219727,329441000
5/2/2003,60.1579536,2412.83124,5595935973,30356.87456,1050598.953,19407.17866,72376.12458,7.100387566,73.39917642,1.47321,3575344.892,8808.179688,270803800
